"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Hendricks, Kyle",543294,"CHC","CH","Changeup",1.5,13,"867",41.1,"298","0.18","0.279","0.233",32.4,23.5,18.6,"0.204","0.286","0.233",17.8
"Cobb, Alex",502171,"SF","FS","Split-Finger",0.1,1,"971",38.7,"297","0.239","0.386","0.295",24.6,19.2,17.2,"0.277","0.431","0.316",44.5
"Walker, Taijuan",592836,"PHI","FS","Split-Finger",0.7,7,"943",33.2,"295","0.205","0.295","0.269",24.4,21.7,18.2,"0.233","0.342","0.289",44.9
"Greene, Hunter",668881,"CIN","FF","4-Seam Fastball",-0.8,-10,"1139",54.6,"295","0.265","0.518","0.39",25.2,26.8,20.4,"0.235","0.441","0.345",50
"Pivetta, Nick",601713,"BOS","FF","4-Seam Fastball",0.3,4,"1205",50.6,"290","0.214","0.44","0.331",24.7,28.3,22.5,"0.229","0.428","0.329",48
"Stroman, Marcus",573186,"CHC","SI","Sinker",1.2,12,"1022",46.4,"286","0.246","0.333","0.332",14.8,13.6,21.3,"0.295","0.412","0.351",46.9
"Gray, Jon",592351,"TEX","FF","4-Seam Fastball",-1.8,-18,"1010",42.2,"286","0.343","0.55","0.421",18,18.2,17.6,"0.315","0.511","0.396",46.7
"Bibee, Tanner",676440,"CLE","FF","4-Seam Fastball",1,11,"1092",46.9,"284","0.243","0.348","0.312",19,19,18.1,"0.272","0.426","0.348",48.5
"Clevinger, Mike",605182,"CWS","FF","4-Seam Fastball",-0.1,-1,"996",47.4,"277","0.277","0.482","0.361",17,20.2,18.7,"0.246","0.456","0.331",42.6
"Pérez, Martín",527048,"TEX","SI","Sinker",0.4,4,"930",41.8,"276","0.251","0.406","0.34",10.2,17,18.4,"0.259","0.427","0.343",40.2
"Strider, Spencer",675911,"ATL","SL","Slider",1.5,16,"1048",33.8,"273","0.154","0.269","0.223",55.3,50.9,33.2,"0.162","0.259","0.222",33.3
"Brown, Hunter",686613,"HOU","FF","4-Seam Fastball",-0.1,-1,"1256",46.2,"267","0.271","0.511","0.386",22.3,25.5,20,"0.231","0.413","0.335",44.9
"Bello, Brayan",678394,"BOS","SI","Sinker",0.7,7,"951",36.3,"264","0.278","0.435","0.365",16,12.5,15.3,"0.283","0.429","0.342",51.5
"Nola, Aaron",605400,"PHI","CU","Curveball",0.6,5,"977",31.6,"264","0.221","0.398","0.302",33.3,29.9,22.2,"0.22","0.366","0.272",30.4
"Flaherty, Jack",656427,"BAL","FF","4-Seam Fastball",-0.3,-3,"1087",41.3,"263","0.291","0.413","0.367",21,25.9,20.3,"0.247","0.383","0.333",37.8
"Hill, Rich",448179,"SD","CU","Curveball",-1.4,-13,"913",36.1,"263","0.283","0.47","0.38",17.7,18.6,16,"0.286","0.464","0.363",38.5
"Steele, Justin",657006,"CHC","SL","Slider",0.3,3,"906",33.8,"261","0.214","0.345","0.267",31.5,34.1,20.8,"0.201","0.307","0.234",37.2
"Houser, Adrian",605288,"MIL","SI","Sinker",0.6,5,"873",47,"260","0.296","0.396","0.338",12.9,18.8,21.3,"0.287","0.428","0.333",46.6
"Cobb, Alex",502171,"SF","SI","Sinker",0.2,2,"988",39.4,"260","0.275","0.428","0.356",13,19.2,15.7,"0.281","0.445","0.355",41.1
"Berríos, José",621244,"TOR","SI","Sinker",0.7,6,"926",31.5,"259","0.249","0.389","0.337",13.8,18.5,20.5,"0.27","0.452","0.348",35.5
"López, Pablo",641154,"MIN","FF","4-Seam Fastball",0.3,3,"1042",34.5,"257","0.268","0.468","0.35",31.6,33.5,26.5,"0.222","0.388","0.3",44.5
"Kershaw, Clayton",477132,"LAD","SL","Slider",1.9,17,"879",43.4,"254","0.167","0.338","0.265",36.2,31.1,25.6,"0.215","0.375","0.282",46.8
"Kremer, Dean",665152,"BAL","FF","4-Seam Fastball",0.3,3,"1071",36.6,"253","0.258","0.415","0.329",25.9,26.5,17.9,"0.264","0.462","0.338",45.1
"Allen, Logan",671106,"CLE","FF","4-Seam Fastball",-0.5,-5,"960",45,"253","0.258","0.484","0.366",17.7,17.4,17.1,"0.267","0.481","0.363",45.8
"Kikuchi, Yusei",579328,"TOR","SL","Slider",1.1,8,"741",26.3,"253","0.222","0.391","0.3",30.5,29.6,24,"0.248","0.455","0.332",41
"Ober, Bailey",641927,"MIN","FF","4-Seam Fastball",0.8,9,"1063",45.7,"252","0.232","0.425","0.314",27.7,25.8,18.3,"0.21","0.437","0.306",41.8
"Mikolas, Miles",571945,"STL","SI","Sinker",-1.7,-13,"780",24.4,"251","0.343","0.545","0.41",8.5,13.1,15.7,"0.35","0.597","0.419",44.1
"Gibson, Kyle",502043,"BAL","SI","Sinker",-0.3,-3,"792",26.1,"251","0.289","0.459","0.371",11.3,15.5,19,"0.292","0.471","0.372",54.9
"Kikuchi, Yusei",579328,"TOR","FF","4-Seam Fastball",0.1,1,"1274",45.2,"250","0.27","0.412","0.336",26.7,25.6,19,"0.24","0.404","0.312",46.6
"France, J.P.",641585,"HOU","FF","4-Seam Fastball",-0.5,-4,"944",42.9,"250","0.308","0.481","0.395",10.7,10.4,11.9,"0.317","0.572","0.418",50.5
"Alcantara, Sandy",645261,"MIA","SI","Sinker",1.9,15,"782",28.7,"247","0.232","0.35","0.301",12.2,12.1,18.3,"0.29","0.458","0.36",39.3
"Eflin, Zach",621107,"TB","SI","Sinker",1.6,13,"832",32.3,"247","0.259","0.315","0.296",13.4,24.7,26,"0.24","0.343","0.275",39
"Gomber, Austin",596295,"COL","FF","4-Seam Fastball",-2.1,-20,"966",44.7,"245","0.346","0.654","0.465",12.3,8.6,11.4,"0.356","0.619","0.446",54.9
"Smyly, Drew",592767,"CHC","SI","Sinker",-1.5,-13,"924",38.5,"244","0.314","0.6","0.427",17.3,15.2,16,"0.297","0.524","0.389",44.9
"Senga, Kodai",673540,"NYM","FF","4-Seam Fastball",-0.3,-3,"1033",37,"244","0.244","0.399","0.338",17.3,25,20.2,"0.268","0.439","0.353",49
"Webb, Logan",657277,"SF","SI","Sinker",0.2,2,"1055",33.2,"243","0.307","0.478","0.373",11.1,14.8,20.6,"0.304","0.496","0.363",51
"Detmers, Reid",672282,"LAA","SL","Slider",0.7,6,"802",30.9,"243","0.236","0.336","0.291",33.8,30.9,23.4,"0.25","0.366","0.305",44.1
"Morton, Charlie",450203,"ATL","FF","4-Seam Fastball",-1.5,-14,"920",32.4,"242","0.288","0.475","0.4",22.5,17.4,16.1,"0.291","0.492","0.392",45.3
"Giolito, Lucas",608337,"CLE","CH","Changeup",0.1,0,"902",28.3,"242","0.209","0.442","0.33",35.2,26.9,21,"0.212","0.402","0.306",30.5
"Abbott, Andrew",671096,"CIN","FF","4-Seam Fastball",0,0,"945",49.8,"241","0.249","0.459","0.355",19.8,27,21.4,"0.258","0.468","0.361",51
"Elder, Bryce",693821,"ATL","SL","Slider",0.2,2,"1006",35.3,"241","0.21","0.393","0.294",33.9,26.6,19.6,"0.216","0.384","0.287",42.2
"Scherzer, Max",453286,"TEX","FF","4-Seam Fastball",0.8,9,"1142",46.3,"240","0.255","0.458","0.34",23.8,18.8,16.9,"0.233","0.457","0.327",43
"Anderson, Tyler",542881,"LAA","FF","4-Seam Fastball",-1.1,-10,"910",37.4,"240","0.298","0.545","0.408",19.1,11.7,10.5,"0.294","0.491","0.397",37.8
"Junis, Jakob",596001,"SF","SL","Slider",0.9,8,"868",62.5,"239","0.216","0.369","0.284",32.8,32.2,24.4,"0.215","0.365","0.271",31.1
"Rodriguez, Eduardo",593958,"DET","FF","4-Seam Fastball",1.1,12,"1074",45.3,"238","0.271","0.416","0.331",21.8,20.6,19.1,"0.271","0.451","0.342",44.9
"Garrett, Braxton",666129,"MIA","SI","Sinker",1.1,8,"788",31.8,"237","0.257","0.376","0.31",10.6,21.1,23.5,"0.266","0.394","0.313",47.9
"Corbin, Patrick",571578,"WSH","SL","Slider",-0.8,-9,"1025",35.1,"237","0.233","0.461","0.339",39.9,27.4,19.9,"0.266","0.516","0.353",38.7
"Weaver, Luke",596133,"NYY","FF","4-Seam Fastball",-1.7,-16,"942",41.7,"234","0.307","0.546","0.408",18.4,19.7,15.8,"0.286","0.5","0.372",49.1
"Gilbert, Logan",669302,"SEA","SL","Slider",1.8,16,"867",29.7,"233","0.211","0.349","0.273",32.2,22.7,21.7,"0.233","0.359","0.276",38.7
"Matz, Steven",571927,"STL","SI","Sinker",0.5,5,"1046",56.1,"230","0.24","0.397","0.323",24.7,23,16.1,"0.226","0.354","0.296",40.8
"Lyles, Jordan",543475,"KC","FF","4-Seam Fastball",1.4,12,"853",30.3,"230","0.225","0.446","0.33",14.7,12.2,15.6,"0.257","0.484","0.348",37.4
"Rodriguez, Grayson",680570,"BAL","FF","4-Seam Fastball",-0.7,-7,"1043",49.6,"229","0.342","0.535","0.409",24.1,23.6,16.8,"0.31","0.494","0.38",50.7
"Eovaldi, Nathan",543135,"TEX","FF","4-Seam Fastball",0.3,3,"830",37.2,"228","0.234","0.423","0.333",18.6,24.1,19.2,"0.257","0.45","0.344",46.9
"Gray, Jon",592351,"TEX","SL","Slider",2.1,17,"801",33.5,"228","0.194","0.275","0.231",37,33.3,27.7,"0.196","0.293","0.236",34.5
"Manaea, Sean",640455,"SF","SI","Sinker",1,9,"883",43,"227","0.223","0.354","0.299",24.1,28.2,20.6,"0.238","0.386","0.302",42
"Bradley, Taj",671737,"TB","FF","4-Seam Fastball",-1.1,-9,"817",44.9,"226","0.277","0.559","0.398",19.1,23.5,19.6,"0.264","0.492","0.368",46.2
"Berríos, José",621244,"TOR","SV","Slurve",0.6,5,"870",29.6,"225","0.216","0.357","0.27",30.5,28,21.8,"0.255","0.444","0.314",33.1
"Glasnow, Tyler",607192,"TB","FF","4-Seam Fastball",0.7,6,"826",43.6,"225","0.24","0.413","0.337",24.7,26.7,24.2,"0.238","0.433","0.334",45.3
"Paxton, James",572020,"BOS","FF","4-Seam Fastball",0.1,1,"907",53.7,"225","0.272","0.5","0.362",21.8,20.4,18.5,"0.251","0.446","0.333",44.6
"Bird, Jake",656234,"COL","SI","Sinker",0.1,1,"824",59.2,"222","0.32","0.402","0.362",13.5,9,14.5,"0.306","0.426","0.362",47.5
"Seabold, Connor",657756,"COL","FF","4-Seam Fastball",-1.7,-14,"837",53.6,"219","0.337","0.606","0.43",18.8,17.4,16,"0.287","0.515","0.37",48.1
"Wacha, Michael",608379,"SD","CH","Changeup",1.1,8,"766",34.5,"219","0.207","0.346","0.26",35.9,32,20.8,"0.189","0.308","0.234",25.9
"Giolito, Lucas",608337,"CLE","SL","Slider",-0.4,-3,"901",28.2,"218","0.236","0.438","0.319",34.5,25.7,20.1,"0.234","0.399","0.295",40.5
"Ashcraft, Graham",668933,"CIN","SL","Slider",-0.9,-8,"868",37.3,"217","0.221","0.461","0.31",32.9,31.3,23.1,"0.22","0.415","0.293",30.9
"Pallante, Andre",669467,"STL","FF","4-Seam Fastball",1.4,11,"753",66.1,"216","0.255","0.324","0.313",13.8,9.7,13.1,"0.251","0.315","0.302",43.8
"Detmers, Reid",672282,"LAA","FF","4-Seam Fastball",-0.8,-8,"1006",38.7,"215","0.292","0.503","0.387",21.4,21.9,17.5,"0.29","0.504","0.391",50
"Bradish, Kyle",680694,"BAL","SL","Slider",1.5,12,"824",31.2,"214","0.168","0.272","0.218",36.4,35,24.4,"0.2","0.366","0.264",35.9
"Medina, Luis",665622,"OAK","FF","4-Seam Fastball",-0.4,-3,"805",41.4,"214","0.274","0.497","0.389",12.1,11.7,12.4,"0.271","0.481","0.376",39.7
"Keller, Mitch",656605,"PIT","FF","4-Seam Fastball",0.7,6,"812",26,"213","0.172","0.333","0.272",29.6,42.7,25.3,"0.177","0.329","0.275",41.2
"Germán, Domingo",593334,"NYY","CU","Curveball",1.4,9,"676",40.9,"212","0.174","0.344","0.27",39.3,36.8,32.5,"0.178","0.318","0.249",35.9
"Finnegan, Kyle",640448,"WSH","FF","4-Seam Fastball",-0.5,-4,"773",69.9,"211","0.273","0.444","0.353",21.2,19,16.3,"0.287","0.46","0.356",48.3
"Tonkin, Michael",543859,"ATL","FF","4-Seam Fastball",1.2,10,"785",61.2,"209","0.226","0.421","0.303",22.3,23,18.7,"0.253","0.464","0.331",44.5
"Fujinami, Shintaro",660261,"BAL","FF","4-Seam Fastball",-0.1,-1,"793",56.5,"209","0.244","0.387","0.366",25.6,19.6,23.6,"0.227","0.394","0.346",43
"Urías, Julio",628711,"LAD","FF","4-Seam Fastball",-0.4,-3,"832",45,"208","0.267","0.503","0.35",21.8,19.7,19.4,"0.279","0.504","0.358",40.7
"Foley, Jason",671345,"DET","SI","Sinker",2.3,16,"722",69,"208","0.237","0.323","0.287",15.2,21.6,22.5,"0.253","0.365","0.285",42.9
"Clase, Emmanuel",661403,"CLE","FC","Cutter",0.7,5,"756",67.5,"206","0.268","0.376","0.308",25.9,18,19.6,"0.252","0.368","0.286",37.7
"Gray, Sonny",543243,"MIN","ST","Sweeper",3.6,21,"578",20.5,"205","0.096","0.117","0.114",41.3,53.2,27.4,"0.134","0.188","0.157",33.7
"Schmidt, Clarke",657376,"NYY","FC","Cutter",0.1,1,"759",28,"205","0.28","0.457","0.35",22.2,17.6,15,"0.241","0.394","0.304",34.6
"Freeland, Kyle",607536,"COL","SI","Sinker",-1.4,-10,"678",28.1,"204","0.348","0.529","0.423",9.2,7.4,11.8,"0.342","0.592","0.42",51.7
"Hill, Rich",448179,"SD","FF","4-Seam Fastball",-0.1,-1,"861",34,"204","0.249","0.454","0.334",21.9,26,23.5,"0.268","0.487","0.351",45.5
"Wentz, Joey",666214,"DET","FF","4-Seam Fastball",-2.6,-21,"803",41.6,"204","0.374","0.682","0.479",19,17.6,15.7,"0.321","0.634","0.437",57.3
"Bickford, Phil",641360,"NYM","FF","4-Seam Fastball",1.4,12,"872",71,"204","0.185","0.292","0.287",30.1,27.9,21.1,"0.215","0.371","0.322",39.5
"Mikolas, Miles",571945,"STL","FF","4-Seam Fastball",0.1,1,"830",26,"204","0.287","0.489","0.351",18.9,19.1,14.2,"0.277","0.466","0.338",55.3
"Nola, Aaron",605400,"PHI","FF","4-Seam Fastball",0.4,3,"918",29.7,"203","0.243","0.492","0.341",22.2,24.6,19.8,"0.214","0.441","0.307",45.3
"Kremer, Dean",665152,"BAL","FC","Cutter",0.1,1,"697",23.8,"203","0.222","0.416","0.322",27.7,22.7,20.7,"0.25","0.466","0.337",38.8
"Anderson, Tyler",542881,"LAA","CH","Changeup",0.3,3,"823",33.9,"202","0.238","0.381","0.284",39.8,29.7,22.5,"0.219","0.353","0.264",24.2
"Kelly, Merrill",518876,"AZ","FF","4-Seam Fastball",0,0,"834",29.8,"202","0.225","0.491","0.35",26.2,27.7,23.3,"0.232","0.426","0.331",53.8
"Ryan, Joe",657746,"MIN","FS","Split-Finger",-0.6,-4,"663",24.7,"201","0.245","0.415","0.312",21.7,21.4,16.9,"0.242","0.409","0.299",40.8
"Luzardo, Jesús",666200,"MIA","SL","Slider",-0.4,-4,"863",28.9,"201","0.233","0.389","0.292",51.8,52.7,30.1,"0.17","0.288","0.214",43.7
"Keller, Mitch",656605,"PIT","SI","Sinker",1.5,11,"712",22.8,"201","0.261","0.364","0.316",11.4,18.9,27.3,"0.236","0.356","0.289",35.1
"López, Pablo",641154,"MIN","CH","Changeup",-0.2,-1,"638",21.1,"200","0.257","0.41","0.335",28.4,22.5,21,"0.225","0.337","0.282",36
"Barria, Jaime",642545,"LAA","SL","Slider",-0.2,-1,"684",50.7,"200","0.242","0.452","0.333",26,20,20.5,"0.252","0.436","0.316",32.7
"Muller, Kyle",666205,"OAK","FF","4-Seam Fastball",-2.5,-19,"749",51.5,"200","0.392","0.643","0.478",16.1,11.5,12.5,"0.354","0.629","0.454",62
"Miley, Wade",489119,"MIL","FC","Cutter",0.3,2,"829",44.3,"198","0.232","0.446","0.332",17.7,10.6,13.4,"0.271","0.462","0.347",32.3
"Crawford, Kutter",676710,"BOS","FF","4-Seam Fastball",1.2,10,"822",39.2,"197","0.163","0.326","0.27",25.9,36.5,24.5,"0.178","0.327","0.267",42.2
"Mikolas, Miles",571945,"STL","SL","Slider",0.8,6,"776",24.3,"195","0.245","0.375","0.294",22.4,17.9,16.4,"0.248","0.412","0.3",32.5
"Gallen, Zac",668678,"AZ","CU","Curveball",0.2,2,"736",22.7,"195","0.21","0.344","0.268",40.8,39.5,25.1,"0.229","0.362","0.275",47.7
"McClanahan, Shane",663556,"TB","FF","4-Seam Fastball",-0.3,-2,"762",41.8,"195","0.269","0.479","0.38",23.3,20,16.1,"0.275","0.484","0.375",46.9
"Estévez, Carlos",608032,"LAA","FF","4-Seam Fastball",0.2,2,"747",66.3,"195","0.243","0.343","0.319",28.4,30.8,21.3,"0.225","0.375","0.314",45
"Chirinos, Yonny",630023,"ATL","SI","Sinker",0,0,"634",47.2,"194","0.297","0.491","0.373",11,8.2,13,"0.316","0.513","0.386",50.9
"Williamson, Brandon",682227,"CIN","FF","4-Seam Fastball",-0.2,-1,"719",37.1,"194","0.269","0.433","0.346",17.1,17.5,14.5,"0.279","0.432","0.348",47.1
"Senga, Kodai",673540,"NYM","FC","Cutter",2.9,20,"699",25,"194","0.244","0.339","0.32",18.5,8.8,16.8,"0.271","0.408","0.341",36.6
"Lyles, Jordan",543475,"KC","ST","Sweeper",-1.3,-9,"695",24.7,"194","0.28","0.543","0.371",24.9,16.5,14.3,"0.255","0.452","0.315",25.3
"Lorenzen, Michael",547179,"PHI","FF","4-Seam Fastball",0.8,7,"817",34.5,"194","0.218","0.341","0.308",17.3,21.1,16.9,"0.244","0.469","0.346",49.2
"Gray, Sonny",543243,"MIN","FF","4-Seam Fastball",0.8,6,"756",26.8,"194","0.297","0.419","0.369",16.4,8.2,13.4,"0.299","0.431","0.357",38.5
"Holmes, Clay",605280,"NYY","SI","Sinker",0.6,4,"710",69.3,"193","0.26","0.343","0.328",17.4,15.5,18.1,"0.247","0.336","0.305",45
"Ohtani, Shohei",660271,"LAA","ST","Sweeper",1.2,9,"736",35.1,"193","0.14","0.333","0.267",36.9,37.3,30.8,"0.157","0.31","0.257",33.3
"Sandoval, Patrick",663776,"LAA","CH","Changeup",0.1,1,"675",25.8,"193","0.184","0.33","0.273",43.2,30.6,21.5,"0.221","0.387","0.289",27.5
"Kirby, George",669923,"SEA","SI","Sinker",1,6,"598",21.2,"192","0.251","0.366","0.293",13.1,18.2,17.5,"0.279","0.407","0.313",38.9
"Keller, Mitch",656605,"PIT","FC","Cutter",-0.1,-1,"757",24.3,"192","0.316","0.503","0.376",23.6,14.6,23.7,"0.306","0.456","0.352",30.7
"DeSclafani, Anthony",543101,"SF","SL","Slider",0.3,2,"694",44.8,"191","0.257","0.429","0.328",27.2,19.9,22.8,"0.266","0.447","0.323",41.5
"Taillon, Jameson",592791,"CHC","FF","4-Seam Fastball",-1,-9,"888",35.1,"191","0.261","0.564","0.398",20.4,22.5,15.6,"0.288","0.605","0.417",54.1
"Kimbrel, Craig",518886,"PHI","FF","4-Seam Fastball",0.9,7,"754",67.2,"190","0.185","0.346","0.288",30.6,34.7,26.5,"0.185","0.345","0.293",48
"Flaherty, Jack",656427,"BAL","SL","Slider",-1.3,-9,"666",25.3,"190","0.333","0.548","0.403",27.1,15.8,15.5,"0.321","0.512","0.387",43.3
"Suárez, Ranger",624133,"PHI","SI","Sinker",-0.1,-1,"571",28.2,"190","0.292","0.429","0.372",10.3,18.4,26.3,"0.269","0.372","0.332",40
"Alcantara, Sandy",645261,"MIA","CH","Changeup",-0.6,-4,"744",27.3,"190","0.282","0.401","0.331",30.3,19.5,16.2,"0.261","0.386","0.305",40.8
"Lugo, Seth",607625,"SD","FF","4-Seam Fastball",0.1,0,"753",31.7,"189","0.25","0.472","0.337",21.6,31.7,23.2,"0.258","0.504","0.346",56.9
